Start Date,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00
27-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27436,30.56976,52.0416,83.45376,88.803,93.93228,116.80812,134.56404,137.709,127.96992,125.19936,107.3358,96.7824,63.414,42.32124,20.124,4.35708,0.14508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00936,3.94056,17.46576,31.65552,52.14924,74.27628,88.88724,95.72472,100.89612,106.85844,95.47668,66.91464,55.85112,44.39448,31.52448,29.12364,12.78108,5.03568,0.12168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01872,4.53492,20.89152,62.20188,81.56304,106.0488,125.37252,147.27024,153.86904,153.26532,156.04524,131.51268,117.25272,86.82336,60.24564,41.45544,19.48752,4.58172,0.28548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702,10.61892,37.39788,66.86316,91.026,117.62244,138.39228,163.7064,173.277,170.41284,163.29456,159.18552,143.28288,116.26524,97.14744,56.63268,27.6822,9.95436,0.57564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17784,6.29928,20.592,35.12808,53.87616,78.11388,86.463,87.20244,99.07092,116.94384,98.163,89.6454,66.17052,58.65912,41.93748,31.39812,18.38304,4.48344,0.3744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17784,6.61284,23.48892,41.82984,72.52128,99.34236,111.30912,109.88172,107.4762,123.16824,131.94324,106.43724,94.07268,70.86456,45.68616,32.35284,17.19432,7.9326,0.87048,0.01872,0,0,0,0,0,0,0,0,0,0,0,0,0
02-02,0,0.00936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12168,7.82964,20.35228,56.89892,75.85344,95.36436,104.40144,132.28488,114.89868,135.59364,142.34688,154.6974,129.6126,94.4424,61.94448,45.12456,32.058,16.87608,3.4164,0.1638,0,0,0,0,0,0,0,0,0,0,0,0,0
03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11852,18.12096,49.33656,85.18536,97.461,116.0874,119.74248,136.91808,174.2832,179.77284,171.87768,147.88332,118.99836,92.3832,64.08324,60.78852,35.65692,12.4722,1.31976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59436,14.46588,47.38968,83.4444,106.48872,106.24068,119.54124,142.18776,132.48144,129.50028,128.1618,102.35628,107.7336,91.5642,81.6894,53.88552,31.15008,11.63916,1.76436,0.00936,0,0,0,0,0,0,0,0,0,0,0,0,0
05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88136,22.4172,50.06196,74.71152,88.76088,126.7812,153.66312,150.41052,151.73028,133.4034,117.76752,94.10076,77.29956,85.48956,71.68356,48.99024,32.16564,14.75604,2.01708,0.02808,0,0,0,0,0,0,0,0,0,0,0,0,0
06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6848,22.66056,51.41916,81.85788,108.40284,136.30032,147.33108,176.66064,184.85064,173.7216,162.13392,145.28592,123.201,113.83164,91.4004,49.71564,29.49804,15.54696,2.53188,0.05148,0,0,0,0,0,0,0,0,0,0,0,0,0
07-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96408,10.94184,28.4076,53.5392,72.64296,86.94036,111.86604,131.35356,148.56192,144.83196,131.97132,114.5898,104.25636,103.8726,78.2496,53.66556,37.57572,13.69836,2.82204,0.01872,0,0,0,0,0,0,0,0,0,0,0,0,0
08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82836,6.40224,16.22556,27.00828,35.05788,45.29772,61.01316,78.25896,89.69688,90.7452,82.77984,86.14476,79.37748,64.21896,44.75952,33.43392,21.3174,8.81712,1.71756,0.01872,0,0,0,0,0,0,0,0,0,0,0,0,0
09-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81432,9.83736,24.97248,35.46504,50.40828,68.16888,79.76124,95.99616,93.19284,110.34036,107.98632,102.02868,88.23204,80.36964,65.37492,59.86656,31.8942,11.93868,2.58804,0.04212,0,0,0,0,0,0,0,0,0,0,0,0,0
10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11384,8.17596,25.42176,41.61924,62.55288,70.68672,85.84056,95.90256,109.7928,105.82884,99.9414,84.36636,73.69596,77.71608,70.68204,59.21604,37.31832,13.81068,3.94524,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0
11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12156,14.6484,31.824,42.85008,63.05364,89.88408,107.93952,124.64712,125.92944,136.06632,127.33812,113.48532,94.40028,75.9096,69.23592,55.26612,36.88776,16.35192,4.6332,0.1404,0,0,0,0,0,0,0,0,0,0,0,0,0
12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00468,2.10132,10.91376,25.272,49.54248,70.3404,82.02168,113.03136,107.7102,118.7784,111.88476,93.69828,76.89708,71.76312,58.16772,46.4958,55.5984,41.418,20.1006,4.52556,0.22932,0,0,0,0,0,0,0,0,0,0,0,0,0
13-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702,1.63332,11.06352,24.11604,37.3698,55.09764,67.5324,74.88936,77.27148,95.59836,113.1156,107.71956,104.13936,95.52816,83.5614,70.1298,60.3954,38.76444,18.2988,5.7096,0.32292,0,0,0,0,0,0,0,0,0,0,0,0,0
14-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702,5.30244,23.43744,46.36944,70.06428,92.57508,111.98304,141.08328,135.98208,139.75884,148.005,127.54872,131.55012,116.75664,120.84228,119.07792,91.09152,54.48456,24.16752,6.72984,0.47736,0,0,0,0,0,0,0,0,0,0,0,0,0
15-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01872,3.88908,17.3862,38.75508,57.86352,80.79552,90.47376,105.45912,103.61988,123.98256,135.25668,119.8782,111.0798,102.71664,90.13212,76.30272,57.096,34.90812,19.89936,7.43652,0.45864,0,0,0,0,0,0,0,0,0,0,0,0,0
16-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1235,4.576,19.2244,47.49875,67.5428,79.46575,103.62495,131.0374,129.8245,136.56045,137.8858,101.09515,82.7333,84.1529,67.20285,59.59395,47.6008,38.0588,20.34305,6.8653,0.46605,0,0,0,0,0,0,0,0,0,0,0,0,0
17-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18616,7.2436,21.50824,50.01984,87.71672,89.92204,103.49768,118.92452,131.92088,113.98244,105.1414,116.74052,141.1826,112.372,96.54684,82.3394,64.93968,45.09544,21.8868,8.13696,0.57772,0,0,0,0,0,0,0,0,0,0,0,0,0
18-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19188,13.08996,44.39916,86.43024,118.48824,129.26628,173.01492,163.6128,175.43916,190.56024,216.13644,193.65372,199.63008,182.3796,148.81932,128.35836,93.23496,66.69468,35.39952,13.86216,1.24956,0,0,0,0,0,0,0,0,0,0,0,0,0
19-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71136,10.96992,30.99096,50.02452,72.61956,97.7652,110.73816,115.5726,101.96316,92.079,99.19728,86.11668,80.86572,65.55276,55.6452,64.20492,38.53512,28.82412,13.9698,5.44284,0.89856,0.01404,0,0,0,0,0,0,0,0,0,0,0,0
20-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21528,6.50988,19.61856,36.70992,49.959,73.63044,91.40508,115.88616,132.94476,118.17468,109.78344,112.58208,105.37956,127.51128,90.8154,84.474,71.11728,45.16668,27.2142,10.58616,1.69416,0,0,0,0,0,0,0,0,0,0,0,0,0
21-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4212,5.35392,14.96196,31.52916,53.57196,74.98296,87.1416,89.94024,104.52312,112.0158,108.24372,106.7274,103.88196,115.3152,99.30492,86.74848,69.91452,46.8234,32.90508,18.49068,2.39616,0,0,0,0,0,0,0,0,0,0,0,0,0
22-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.222,12.3136,32.396,66.6744,101.6652,115.2268,130.3952,150.8832,181.7296,205.2752,213.4548,213.9592,217.5576,191.2456,160.2796,162.8952,143.1664,111.254,56.654,22.1572,3.3176,0.0416,0,0,0,0,0,0,0,0,0,0,0,0
23-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.638,11.75616,29.26404,54.55476,77.26212,87.6564,125.9154,144.612,171.18036,164.01996,176.51556,186.71796,169.85592,137.32992,103.60116,106.12368,87.62832,65.58552,39.93444,17.94312,3.276,0.01872,0,0,0,0,0,0,0,0,0,0,0,0
24-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00936,2.69412,16.64624,50.68336,74.94968,121.61448,166.57576,196.3754,172.71904,199.29312,186.78764,252.97324,214.80524,216.3382,180.77228,197.63692,181.83984,150.75008,97.85672,62.53416,28.418,6.12924,0.13104,0,0,0,0,0,0,0,0,0,0,0,0
25-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01872,3.3228,24.2424,81.72684,97.09596,155.73168,170.50644,178.15824,211.26456,239.25564,226.49328,267.56496,199.46628,183.02076,228.27168,165.77964,174.798,143.97552,73.1484,50.82012,29.36232,6.16356,0.1872,0,0,0,0,0,0,0,0,0,0,0,0
26-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00936,4.57236,18.02736,38.36196,65.76336,94.95252,137.31588,153.09684,168.83568,175.52808,173.70288,190.53216,208.60632,223.55424,144.99576,128.7936,153.06408,144.82728,80.65044,67.29372,28.68372,7.45056,0.33228,0,0,0,0,0,0,0,0,0,0,0,0
27-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01404,4.75956,23.76504,78.82056,114.08436,143.70408,169.35984,195.84396,226.36692,241.3944,242.35848,265.06116,257.80716,244.42236,253.30968,216.51552,197.6832,143.52156,90.34272,75.582,37.1592,10.4364,0.31824,0,0,0,0,0,0,0,0,0,0,0,0
