Start Date,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00
16-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.161111111,43.02222222,180.7422222,446.5694444,635.0177778,747.1138889,974.2516667,1231.975556,1220.572222,1283.901667,1296.362222,950.4672222,777.8344444,791.1811111,631.8216667,560.285,447.5288889,357.8177778,191.2594444,64.54555556,4.381666667,0,0,0,0,0,0,0,0,0,0,0,0,0
17-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.750222222,68.10222222,202.2142222,470.272,824.6871111,845.4208889,973.0551111,1118.093778,1240.281778,1071.629778,988.5088889,1097.560444,1327.357778,1056.488889,907.7053333,774.1311111,610.544,423.9742222,205.7733333,76.50133333,5.431555556,0,0,0,0,0,0,0,0,0,0,0,0,0
18-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.804,123.068,417.428,812.592,1113.992,1215.324,1626.636,1538.24,1649.428,1791.592,2032.052,1820.676,1876.864,1714.68,1399.156,1206.788,876.568,627.044,332.816,130.328,11.748,0,0,0,0,0,0,0,0,0,0,0,0,0
19-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.688,103.136,291.368,470.316,682.748,919.16,1041.128,1086.58,958.628,865.7,932.624,809.644,760.276,616.308,523.16,603.636,362.296,270.996,131.34,51.172,8.448,0.132,0,0,0,0,0,0,0,0,0,0,0,0
20-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.024,61.204,184.448,345.136,469.7,692.252,859.364,1089.528,1249.908,1111.044,1032.152,1058.464,990.748,1198.824,853.82,794.2,668.624,424.644,255.86,99.528,15.928,0,0,0,0,0,0,0,0,0,0,0,0,0
21-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,50.336,140.668,296.428,503.668,704.968,819.28,845.592,982.696,1053.14,1017.676,1003.42,976.668,1084.16,933.636,815.584,657.316,440.22,309.364,173.844,22.528,0,0,0,0,0,0,0,0,0,0,0,0,0
22-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48888889,115.7688889,304.5777778,626.8533333,955.8266667,1083.328889,1225.937778,1418.56,1708.568889,1929.937778,2006.84,2011.582222,2045.413333,1798.035556,1506.902222,1531.493333,1346.008889,1045.977778,532.6444444,208.3155556,31.19111111,0.391111111,0,0,0,0,0,0,0,0,0,0,0,0
23-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,110.528,275.132,512.908,726.396,824.12,1183.82,1359.6,1609.388,1542.068,1659.548,1755.468,1596.936,1291.136,974.028,997.744,823.856,616.616,375.452,168.696,30.8,0.176,0,0,0,0,0,0,0,0,0,0,0,0
24-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,25.32933333,156.5031111,476.5102222,704.6551111,1143.384,1566.096889,1846.264444,1623.854222,1873.696,1756.123111,2378.380889,2019.536444,2033.948889,1699.568444,1858.124889,1709.605333,1417.308444,920.0204444,587.928,267.1777778,57.62533333,1.232,0,0,0,0,0,0,0,0,0,0,0,0
25-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,31.24,227.92,768.372,912.868,1464.144,1603.052,1674.992,1986.248,2249.412,2129.424,2515.568,1875.324,1720.708,2146.144,1558.612,1643.4,1353.616,687.72,477.796,276.056,57.948,1.76,0,0,0,0,0,0,0,0,0,0,0,0
26-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,42.988,169.488,360.668,618.288,892.716,1291.004,1439.372,1587.344,1650.264,1633.104,1791.328,1961.256,2101.792,1363.208,1210.88,1439.064,1361.624,758.252,632.676,269.676,70.048,3.124,0,0,0,0,0,0,0,0,0,0,0,0
27-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,44.748,223.432,741.048,1072.588,1351.064,1592.272,1841.268,2128.236,2269.52,2278.584,2492.028,2423.828,2297.988,2381.544,2035.616,1858.56,1349.348,849.376,710.6,349.36,98.12,2.992,0,0,0,0,0,0,0,0,0,0,0,0
28-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,45.98,186.164,583,894.036,1183.688,1404.304,1650.308,1978.592,2047.056,2140.644,2171.224,1975.512,1755.644,1231.648,1126.004,1191.872,956.736,638.264,320.012,163.988,48.84,1.672,0,0,0,0,0,0,0,0,0,0,0,0
01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.848,83.028,254.408,634.128,835.164,1032.24,1328.316,1515.184,1696.728,1956.152,1970.628,1992.584,1952.456,1817.024,1806.728,1508.76,1441.176,1166.132,855.756,625.24,279.4,91.52,3.872,0,0,0,0,0,0,0,0,0,0,0,0
02-03,0,0.088,0,0,0,0,0,0,0,0,0,0,0,1.452,72.16,212.08,664.092,898.5631111,1245.410222,1467.224,1679.568,1738.748,1905.42,2000.416,2144.428,2047.892,2060.74,1573.088,1611.456,1273.888,1294.48,751.388,483.252,268.312,71.368,4.268,0,0,0,0,0,0,0,0,0,0,0,0
03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,11.132,120.472,346.148,657.624,837.98,990.308,1170.092,1361.14,1457.632,1462.78,1408.22,1326.908,1184.084,1138.324,1482.492,1372.096,1186.064,946.22,686.4,530.244,233.992,79.068,3.696,0,0,0,0,0,0,0,0,0,0,0,0
04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,6.116,84.216,231.22,669.9,1027.18,1433.608,1726.824,1782.396,1867.14,2067.824,2249.192,1967.372,1886.808,1772.804,1767.48,1737.692,1228.304,951.412,949.872,642.928,208.56,105.644,7.964,0,0,0,0,0,0,0,0,0,0,0,0
05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,6.116,104.544,239.228,431.816,661.848,920.436,1225.752,1416.228,1669.712,1995.576,2353.032,2418.152,2405.876,2212.056,2122.472,2070.552,1615.636,1271.556,1085.656,799.964,372.152,142.604,16.148,0,0,0,0,0,0,0,0,0,0,0,0
