Start Date,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,,
14-03,0,0,0,0,0,0,0,0,0,0,0,0,0.315333333,25.51266667,109.384,227.5716667,438.9036667,511.291,569.6166667,665.1516667,792.0476667,788.8833333,741.4586667,863.885,861.421,839.0873333,877.2683333,724.8816667,787.6586667,788.9236667,478.6246667,380.7686667,285.4756667,203.9216667,96.24633333,24.66566667,0.553666667,0,0,0,0,0,0,0,0,0,0,0,,
15-03,0,0,0,0,0,0,0,0,0,0,0,0,0.905666667,32.09066667,95.56066667,167.1816667,446.853,583.5646667,706.3063333,760.936,764.7053333,816.6876667,663.201,759.1356667,753.4633333,726.275,579.3223333,626.6773333,547.1546667,481.5213333,431.9773333,407.77,246.312,169.8693333,81.42566667,19.59833333,0.700333333,0,0,0,0,0,0,0,0,0,0,0,,
16-03,0,0,0,0,0,0,0,0,0,0,0,0,2.390666667,30.37833333,94.65866667,208.4206667,303.006,380.864,500.3056667,616.781,672.0633333,755.6816667,715.352,818.9096667,736.0796667,637.9303333,693.649,514.3343333,488.9646667,386.6096667,320.4336667,265.2356667,159.181,128.3186667,55.03666667,13.87833333,0.608666667,0,0,0,0,0,0,0,0,0,0,0,,
17-03,0,0,0,0,0,0,0,0,0,0,0,0,1.158666667,28.93733333,86.34633333,149.534,237.9593333,299.387,398.8673333,454.036,449.5736667,516.681,602.525,666.7613333,713.339,773.5603333,791.6516667,696.3293333,605.121,557.062,460.6066667,403.5863333,330.3776667,178.7206667,124.0543333,30.998,1.606,0,0,0,0,0,0,0,0,0,0,0,,
18-03,0,0,0,0,0,0,0,0,0,0,0,0,3.505333333,40.83566667,116.402,255.2586667,432.663,540.3163333,657.4223333,765.8823333,848.98,901.021,922.7166667,968.8726667,972.224,982.201,940.5146667,851.6493333,733.5753333,647.3426667,543.653,426.0996667,335.874,226.105,92.15433333,34.276,2.687666667,0,0,0,0,0,0,0,0,0,0,0,,
19-03,0,0,0,0,0,0,0,0,0,0,0,0,6.6,45.83333333,117.2416667,266.915,439.175,581.9366667,708.9316667,797.9216667,890.4316667,905.355,956.01,1000.413333,1062.728333,1039.078333,1017.866667,981.4566667,848.485,649.33,502.425,474.7416667,355.6666667,294.7266667,142.78,55.99,6.508333333,0,0,0,0,0,0,0,0,0,0,0,,
20-03,0,0,0,0,0,0,0,0,0,0,0,0,5.049,44.28966667,113.5493333,272.1253333,428.6406667,573.7746667,683.2136667,782.6793333,870.5033333,981.2623333,1010.867,974.567,1017.045333,978.307,945.4353333,969.0963333,931.249,737.7956667,719.928,550.5683333,331.991,250.019,138.6036667,44.26033333,5.008666667,0,0,0,0,0,0,0,0,0,0,0,,
21-03,0,0,0,0,0,0,0,0,0,0,0,0,9.999,72.7155,175.1145,231.825,367.851,480.645,625.614,762.7455,774.6915,855.0465,887.601,868.5435,967.56,931.2435,803.319,654.8355,533.478,534.1545,487.476,434.2635,290.334,178.497,99.1155,36.333,3.564,0,0,0,0,0,0,0,0,0,0,0,,
22-03,0,0,0,0,0,0,0,0,0,0,0,0,4.722666667,35.90766667,100.4336667,195.624,314.292,404.415,453.827,583.693,635.745,754.864,788.8026667,826.2393333,810.5533333,761.5996667,745.3636667,657.2463333,520.212,496.826,449.02,326.2233333,244.4053333,166.1073333,90.43466667,30.52866667,4.176333333,0,0,0,0,0,0,0,0,0,0,0,,
23-03,0,0,0,0,0,0,0,0,0,0,0,0,8.5965,49.1535,113.8995,183.3975,262.4985,347.9025,471.438,508.86,564.861,670.8735,709.8795,715.7205,769.362,774.3945,814.44,704.649,577.137,526.0365,423.4725,351.0705,248.4075,178.332,104.5275,36.366,4.0755,0,0,0,0,0,0,0,0,0,0,0,,
